H|182789|30-JUN-2017|1197533|DT|P|F
P|H|30-JUN-2017|1|0|ONZN|-3.78
P|R|30-JUN-2017|1|1|MBSI|-3
P|R|30-JUN-2017|1|1|MISI|24.66
P|R|30-JUN-2017|1|1|MNSI|26.5
P|R|30-JUN-2017|1|1|NYSI|17.2
P|R|30-JUN-2017|1|1|ONZN|-3
P|R|30-JUN-2017|1|1|PQAT|-3
P|R|30-JUN-2017|1|1|PQBE|-3
P|R|30-JUN-2017|1|1|PQDA|-3
P|R|30-JUN-2017|1|1|PQDZ|-3
P|R|30-JUN-2017|1|1|PQHA|-3
P|R|30-JUN-2017|1|1|PQHZ|-3
P|R|30-JUN-2017|1|1|PQPC|-3
P|R|30-JUN-2017|1|1|PQQC|-3
P|R|30-JUN-2017|1|1|PQSK|-3
P|R|30-JUN-2017|1|1|PQXY|-3
P|R|30-JUN-2017|1|2|MBSI|-3
P|R|30-JUN-2017|1|2|MISI|24.66
P|R|30-JUN-2017|1|2|MNSI|26.5
P|R|30-JUN-2017|1|2|NYSI|17.2
P|R|30-JUN-2017|1|2|ONZN|-3
P|R|30-JUN-2017|1|2|PQAT|-3
P|R|30-JUN-2017|1|2|PQBE|-3
P|R|30-JUN-2017|1|2|PQDA|-3
P|R|30-JUN-2017|1|2|PQDZ|-3
P|R|30-JUN-2017|1|2|PQHA|-3
P|R|30-JUN-2017|1|2|PQHZ|-3
P|R|30-JUN-2017|1|2|PQPC|-3
P|R|30-JUN-2017|1|2|PQQC|-3
P|R|30-JUN-2017|1|2|PQSK|-3
P|R|30-JUN-2017|1|2|PQXY|-3
P|R|30-JUN-2017|1|3|MBSI|-3
P|R|30-JUN-2017|1|3|MISI|24.66
P|R|30-JUN-2017|1|3|MNSI|26.5
P|R|30-JUN-2017|1|3|NYSI|17.2
P|R|30-JUN-2017|1|3|ONZN|-3
P|R|30-JUN-2017|1|3|PQAT|-3
P|R|30-JUN-2017|1|3|PQBE|-3
P|R|30-JUN-2017|1|3|PQDA|-3
P|R|30-JUN-2017|1|3|PQDZ|-3
P|R|30-JUN-2017|1|3|PQHA|-3
P|R|30-JUN-2017|1|3|PQHZ|-3
P|R|30-JUN-2017|1|3|PQPC|-3
P|R|30-JUN-2017|1|3|PQQC|-3
P|R|30-JUN-2017|1|3|PQSK|-3
P|R|30-JUN-2017|1|3|PQXY|-3
P|R|30-JUN-2017|1|4|MBSI|-4
P|R|30-JUN-2017|1|4|MISI|23.66
P|R|30-JUN-2017|1|4|MNSI|25.5
P|R|30-JUN-2017|1|4|NYSI|16.2
P|R|30-JUN-2017|1|4|ONZN|-4
P|R|30-JUN-2017|1|4|PQAT|-4
P|R|30-JUN-2017|1|4|PQBE|-4
P|R|30-JUN-2017|1|4|PQDA|-4
P|R|30-JUN-2017|1|4|PQDZ|-4
P|R|30-JUN-2017|1|4|PQHA|-4
P|R|30-JUN-2017|1|4|PQHZ|-4
P|R|30-JUN-2017|1|4|PQPC|-4
P|R|30-JUN-2017|1|4|PQQC|-4
P|R|30-JUN-2017|1|4|PQSK|-4
P|R|30-JUN-2017|1|4|PQXY|-4
P|R|30-JUN-2017|1|5|MBSI|-4
P|R|30-JUN-2017|1|5|MISI|23.66
P|R|30-JUN-2017|1|5|MNSI|25.5
P|R|30-JUN-2017|1|5|NYSI|16.2
P|R|30-JUN-2017|1|5|ONZN|-4
P|R|30-JUN-2017|1|5|PQAT|-4
P|R|30-JUN-2017|1|5|PQBE|-4
P|R|30-JUN-2017|1|5|PQDA|-4
P|R|30-JUN-2017|1|5|PQDZ|-4
P|R|30-JUN-2017|1|5|PQHA|-4
P|R|30-JUN-2017|1|5|PQHZ|-4
P|R|30-JUN-2017|1|5|PQPC|-4
P|R|30-JUN-2017|1|5|PQQC|-4
P|R|30-JUN-2017|1|5|PQSK|-4
P|R|30-JUN-2017|1|5|PQXY|-4
P|R|30-JUN-2017|1|6|MBSI|-4
P|R|30-JUN-2017|1|6|MISI|23.66
P|R|30-JUN-2017|1|6|MNSI|25.5
P|R|30-JUN-2017|1|6|NYSI|16.2
P|R|30-JUN-2017|1|6|ONZN|-4
P|R|30-JUN-2017|1|6|PQAT|-4
P|R|30-JUN-2017|1|6|PQBE|-4
P|R|30-JUN-2017|1|6|PQDA|-4
P|R|30-JUN-2017|1|6|PQDZ|-4
P|R|30-JUN-2017|1|6|PQHA|-4
P|R|30-JUN-2017|1|6|PQHZ|-4
P|R|30-JUN-2017|1|6|PQPC|-4
P|R|30-JUN-2017|1|6|PQQC|-4
P|R|30-JUN-2017|1|6|PQSK|-4
P|R|30-JUN-2017|1|6|PQXY|-4
P|R|30-JUN-2017|1|7|MBSI|-4
P|R|30-JUN-2017|1|7|MISI|23.66
P|R|30-JUN-2017|1|7|MNSI|25.5
P|R|30-JUN-2017|1|7|NYSI|16.2
P|R|30-JUN-2017|1|7|ONZN|-4
P|R|30-JUN-2017|1|7|PQAT|-4
P|R|30-JUN-2017|1|7|PQBE|-4
P|R|30-JUN-2017|1|7|PQDA|-4
P|R|30-JUN-2017|1|7|PQDZ|-4
