H|182789|27-SEP-2017|1220238|DT|P|F
P|H|27-SEP-2017|1|0|ONZN|13.43
P|R|27-SEP-2017|1|1|MBSI|36.7
P|R|27-SEP-2017|1|1|MISI|45.75
P|R|27-SEP-2017|1|1|MNSI|36.7
P|R|27-SEP-2017|1|1|NYSI|36.7
P|R|27-SEP-2017|1|1|ONZN|36.7
P|R|27-SEP-2017|1|1|PQAT|36.7
P|R|27-SEP-2017|1|1|PQBE|36.7
P|R|27-SEP-2017|1|1|PQDA|36.7
P|R|27-SEP-2017|1|1|PQDZ|36.7
P|R|27-SEP-2017|1|1|PQHA|36.7
P|R|27-SEP-2017|1|1|PQHZ|36.7
P|R|27-SEP-2017|1|1|PQPC|36.7
P|R|27-SEP-2017|1|1|PQQC|36.7
P|R|27-SEP-2017|1|1|PQSK|36.7
P|R|27-SEP-2017|1|1|PQXY|36.7
P|R|27-SEP-2017|1|2|MBSI|11.36
P|R|27-SEP-2017|1|2|MISI|20.41
P|R|27-SEP-2017|1|2|MNSI|11.36
P|R|27-SEP-2017|1|2|NYSI|11.36
P|R|27-SEP-2017|1|2|ONZN|11.36
P|R|27-SEP-2017|1|2|PQAT|11.36
P|R|27-SEP-2017|1|2|PQBE|11.36
P|R|27-SEP-2017|1|2|PQDA|11.36
P|R|27-SEP-2017|1|2|PQDZ|11.36
P|R|27-SEP-2017|1|2|PQHA|11.36
P|R|27-SEP-2017|1|2|PQHZ|11.36
P|R|27-SEP-2017|1|2|PQPC|11.36
P|R|27-SEP-2017|1|2|PQQC|11.36
P|R|27-SEP-2017|1|2|PQSK|11.36
P|R|27-SEP-2017|1|2|PQXY|11.36
P|R|27-SEP-2017|1|3|MBSI|11.34
P|R|27-SEP-2017|1|3|MISI|20.39
P|R|27-SEP-2017|1|3|MNSI|11.34
P|R|27-SEP-2017|1|3|NYSI|11.34
P|R|27-SEP-2017|1|3|ONZN|11.34
P|R|27-SEP-2017|1|3|PQAT|11.34
P|R|27-SEP-2017|1|3|PQBE|11.34
P|R|27-SEP-2017|1|3|PQDA|11.34
P|R|27-SEP-2017|1|3|PQDZ|11.34
P|R|27-SEP-2017|1|3|PQHA|11.34
P|R|27-SEP-2017|1|3|PQHZ|11.34
P|R|27-SEP-2017|1|3|PQPC|11.34
P|R|27-SEP-2017|1|3|PQQC|11.34
P|R|27-SEP-2017|1|3|PQSK|11.34
P|R|27-SEP-2017|1|3|PQXY|11.34
P|R|27-SEP-2017|1|4|MBSI|11.33
P|R|27-SEP-2017|1|4|MISI|20.38
P|R|27-SEP-2017|1|4|MNSI|11.33
P|R|27-SEP-2017|1|4|NYSI|11.33
P|R|27-SEP-2017|1|4|ONZN|11.33
P|R|27-SEP-2017|1|4|PQAT|11.33
P|R|27-SEP-2017|1|4|PQBE|11.33
P|R|27-SEP-2017|1|4|PQDA|11.33
P|R|27-SEP-2017|1|4|PQDZ|11.33
P|R|27-SEP-2017|1|4|PQHA|11.33
P|R|27-SEP-2017|1|4|PQHZ|11.33
P|R|27-SEP-2017|1|4|PQPC|11.33
P|R|27-SEP-2017|1|4|PQQC|11.33
P|R|27-SEP-2017|1|4|PQSK|11.33
P|R|27-SEP-2017|1|4|PQXY|11.33
P|R|27-SEP-2017|1|5|MBSI|11.33
P|R|27-SEP-2017|1|5|MISI|20.38
P|R|27-SEP-2017|1|5|MNSI|11.33
P|R|27-SEP-2017|1|5|NYSI|11.33
P|R|27-SEP-2017|1|5|ONZN|11.33
P|R|27-SEP-2017|1|5|PQAT|11.33
P|R|27-SEP-2017|1|5|PQBE|11.33
P|R|27-SEP-2017|1|5|PQDA|11.33
P|R|27-SEP-2017|1|5|PQDZ|11.33
P|R|27-SEP-2017|1|5|PQHA|11.33
P|R|27-SEP-2017|1|5|PQHZ|11.33
P|R|27-SEP-2017|1|5|PQPC|11.33
P|R|27-SEP-2017|1|5|PQQC|11.33
P|R|27-SEP-2017|1|5|PQSK|11.33
P|R|27-SEP-2017|1|5|PQXY|11.33
P|R|27-SEP-2017|1|6|MBSI|11.33
P|R|27-SEP-2017|1|6|MISI|20.38
P|R|27-SEP-2017|1|6|MNSI|11.33
P|R|27-SEP-2017|1|6|NYSI|11.33
P|R|27-SEP-2017|1|6|ONZN|11.33
P|R|27-SEP-2017|1|6|PQAT|11.33
P|R|27-SEP-2017|1|6|PQBE|11.33
P|R|27-SEP-2017|1|6|PQDA|11.33
P|R|27-SEP-2017|1|6|PQDZ|11.33
P|R|27-SEP-2017|1|6|PQHA|11.33
P|R|27-SEP-2017|1|6|PQHZ|11.33
P|R|27-SEP-2017|1|6|PQPC|11.33
P|R|27-SEP-2017|1|6|PQQC|11.33
P|R|27-SEP-2017|1|6|PQSK|11.33
P|R|27-SEP-2017|1|6|PQXY|11.33
P|R|27-SEP-2017|1|7|MBSI|11.32
P|R|27-SEP-2017|1|7|MISI|20.37
P|R|27-SEP-2017|1|7|MNSI|11.32
P|R|27-SEP-2017|1|7|NYSI|11.32
P|R|27-SEP-2017|1|7|ONZN|11.32
P|R|27-SEP-2017|1|7|PQAT|11.32
P|R|27-SEP-2017|1|7|PQBE|11.32
P|R|27-SEP-2017|1|7|PQDA|11.32
P|R|27-SEP-2017|1|7|PQDZ|11.32
P|R|27-SEP-2017|1|7|PQHA|11.32
P|R|27-SEP-2017|1|7|PQHZ|11.32
P|R|27-SEP-2017|1|7|PQPC|11.32
P|R|27-SEP-2017|1|7|PQQC|11.32
P|R|27-SEP-2017|1|7|PQSK|11.32
P|R|27-SEP-2017|1|7|PQXY|11.32
P|R|27-SEP-2017|1|8|MBSI|11.31
P|R|27-SEP-2017|1|8|MISI|20.36
P|R|27-SEP-2017|1|8|MNSI|11.31
P|R|27-SEP-2017|1|8|NYSI|11.31
P|R|27-SEP-2017|1|8|ONZN|11.31
P|R|27-SEP-2017|1|8|PQAT|11.31
P|R|27-SEP-2017|1|8|PQBE|11.31
P|R|27-SEP-2017|1|8|PQDA|11.31
P|R|27-SEP-2017|1|8|PQDZ|11.31
P|R|27-SEP-2017|1|8|PQHA|11.31
P|R|27-SEP-2017|1|8|PQHZ|11.31
P|R|27-SEP-2017|1|8|PQPC|11.31
P|R|27-SEP-2017|1|8|PQQC|11.31
P|R|27-SEP-2017|1|8|PQSK|11.31
P|R|27-SEP-2017|1|8|PQXY|11.31
P|R|27-SEP-2017|1|9|MBSI|11.31
P|R|27-SEP-2017|1|9|MISI|20.36
P|R|27-SEP-2017|1|9|MNSI|11.31
P|R|27-SEP-2017|1|9|NYSI|11.31
P|R|27-SEP-2017|1|9|ONZN|11.31
P|R|27-SEP-2017|1|9|PQAT|11.31
P|R|27-SEP-2017|1|9|PQBE|11.31
P|R|27-SEP-2017|1|9|PQDA|11.31
P|R|27-SEP-2017|1|9|PQDZ|11.31
P|R|27-SEP-2017|1|9|PQHA|11.31
P|R|27-SEP-2017|1|9|PQHZ|11.31
P|R|27-SEP-2017|1|9|PQPC|11.31
P|R|27-SEP-2017|1|9|PQQC|11.31
P|R|27-SEP-2017|1|9|PQSK|11.31
P|R|27-SEP-2017|1|9|PQXY|11.31
P|R|27-SEP-2017|1|10|MBSI|11.29
P|R|27-SEP-2017|1|10|MISI|20.34
P|R|27-SEP-2017|1|10|MNSI|11.29
P|R|27-SEP-2017|1|10|NYSI|11.29
P|R|27-SEP-2017|1|10|ONZN|11.29
P|R|27-SEP-2017|1|10|PQAT|11.29
P|R|27-SEP-2017|1|10|PQBE|11.29
P|R|27-SEP-2017|1|10|PQDA|11.29
P|R|27-SEP-2017|1|10|PQDZ|11.29
P|R|27-SEP-2017|1|10|PQHA|11.29
P|R|27-SEP-2017|1|10|PQHZ|11.29
P|R|27-SEP-2017|1|10|PQPC|11.29
P|R|27-SEP-2017|1|10|PQQC|11.29
P|R|27-SEP-2017|1|10|PQSK|11.29
P|R|27-SEP-2017|1|10|PQXY|11.29
P|R|27-SEP-2017|1|11|MBSI|11.28
P|R|27-SEP-2017|1|11|MISI|20.33
P|R|27-SEP-2017|1|11|MNSI|11.28
P|R|27-SEP-2017|1|11|NYSI|11.28
